a#啊𦇎
ǎo#镺芺拗䯠㤇𪁾𩣻𩑤𩈏𦽀𢁱鴁郩蝹䐿䉛𨱧眑
āo#軪爊梎柪坳凹䫜㩠㕭𪃨𩥊𧨲𧅃𤏶鴢眑熝泑䆟𤇯
ba#笆巴吧叭𣬷𣬶爸拔
bá#鼥魃跋詙菝茇胈癹犮炦拔妭墢坺䮂𩖽𩊤𧺺𧺡𦳺𥎱𢇷㧊𩖣𥥛抪萆茷
bà#靶霸跁耙矲爸灞欛弝垻䩗䇑𩽷𩹏𩨜𩃴𧿏𦫙𥝧𤜕皅杷䯲㭛𠐌
bǎ#把㞎𢺞𢃳靶
bā#釛豝蚆芭羓粑疤玐柭朳捌扒岜夿哵八仈㿬㺴㸭㭭𩡩𨊹𧲧𧎱𦓧𤤒𤣸𤜱𢻷𢠭𡚭𠵺𠛋捭峇䈈𥐙哱巴
bai#㗑白
bái#白䳆㿟𦣺𥬝
bài#鞁粺稗猈拜庍䢙䒔㠔㔥𩏞𩎻𩋂𦳞𦩋𤽹𤙅𣧙𢈕𡭢𡏯𠟻鞴薜
bǎi#絔百柏捭佰𠫛𦣻𠮠
bāi#掰挀䪹㓦𨃅𢛞㧳𩑢䠋
ban#扮
bàn#靽鉡秚瓣湴拌怑姅半伴㪵㚘𩢔𨐾𨐱𨐦𦝤𦙹𥷁𢴬𢲔𠯘跘柈埿坢䛀扮
bǎn#魬阪蝂舨粄瓪版板昄䬳𧿨𧌿𡯘𠧫覂
bān#鳻辬褩螌般癍瘢班斒斑攽搬扳䈲䃑𪒋𩿉𩔮𨭉𧇥𦎊𥹓𤳖𤫫𤦦𤡰𣪂𠺚𠦒𠚼𠔯豳籓朌搫彬䰉㻞㢖𩭧𢲔
bàng#蜯蚌蒡艕磅玤棓棒徬塝傍䰷䧛䖫䎧䂜𩮗𣘙𢶶𢮏𢜗𢄎𡽲𠬣𠨵蛖蚄硥嫎埲嗙搒𢪋
bǎng#膀牓榜𦾭𣮧騯螃髈搒
bāng#鞤邦浜梆垹䩷㿶㨍㙃𩍗𨢐𦰥𤱵𤚰𣮡𢸌𢁏𠳐𠲑𩋮𥀂彭
báo#雹薄窇嫑䪨䥤䈏㿺㵡𦢊𦡕𥭓𤿈砲𧭤
bào#髱骲靤鑤豹袌蚫虣菢爆暴抱勽儤䤖㲒𪏶𩿓𩾡𩍂𩊅𨠖𨇅𧭤𧝘𥄹𤝧𤔣𣭀𢼌𡉩𡂟𠹕𠣺趵怉𧘑𣋳嚗嘐
bǎo#駂賲葆緥怉宲媬堢堡保䴐䎂𩭼𩬽𩛞𨰻𨰦𤞥𡧖𠤏䯽
bāo#闁襃蕔苞胞笣煲孢包勹𨚔𧵢𡶄𠣒𠅬裒葆枹苴
bei#臂
bèi#骳鞴邶誖褙被蓓苝背糒碚琲犕焙昁悖孛偝倍䰽䩀䟺䔒㸬㸢㶔㰆㫲㣁㔨𩚾𩖠𩇩𧶙𦾙𦮷𤿒𤹲𤳦𤰈𤜲𣬪𣖾𣎵𢻵𢴾𢂏𡋭𠢥𠐡𠋭鐴跋萯棑杮垻哱㭭㪍㔗𨚍𡥞棓怫䟛蜚茀
běi#北䋳㤳𧋲𧉥悖𡰯
bēi#陂錍藣碑桮杯揹悲卑㽡㗗𩔹𧼠𦩖𦈶𦈧𥶓𥏓𤿾𤷁𤵛𣬍𢃍諀箄椑柸䱝䚜𣝁萆俾䣙𤷒鞞埤棓背
bèn#輽笨獖渀桳撪捹坌倴䬱㮥㨧㤓𪎝𪊜𨋒𦯀𥢊𣴞逩燌炃泍夯𩰶奔
běn#苯翉畚本㡷𣄏夲𡗢
bēn#逩犇泍栟奔𪑖𣳰蟦渀喯倴𡗲
béng#甭
bèng#逬蹦跰甏泵塴䭰䨻㷯𪔑𩂦𨆊𧻓𧩱𦺑𦝷𥦜𥖗𡾛𡎾錋熢堋㼞𨹹蚌
běng#菶琫琣埲埄唪䳞䩬䋽㑟𩑚𩊌𨓁𧚭𧑑𦂌𥀂𤫬俸漨
bēng#絣祊痭嵭崩奟嘣嗙傰伻䨜䑫㔙𨻱𨹹𨕧𥞩𤡭𤙾𣨥𣂤𢐒𢉁𢆸𡶤𡡈𠡮𠜳搒抨㱶㧍𢏳
bí#鼻荸𩾳𣴨䵗𧼱𦤫
bì#鼊鷝魓髲髀驆駜馝饆鞸陛閟鐴鏎鄪鄨邲避躄躃貱觱襣襞裨袐蜌薜蔽蓖苾臂腷罼繴縪綼篦箅碧皕痺痹疪畀璧珌獙獘狴煏滭湢毖殍梐柲枈敝愎愊怶怭必弼弊廦庳庇嬖婢妼奰壁堛坒吡佖䮡䬛䫁䪐䩛䧗䠋䟤䖩䕗䏶䉾䄶䀣㿫㳼㱸㮿㪤㧙㢸㢰㡀㙄㘩㘠㓖𪏺𪍪𪋜𩲢𩪧𩪖𩑻𩊰𩉫𨸼𨵰𨠔𨚓𨚍𨐨𨋩𨋥𧳠𧲜𧫤𧥑𧓄𧒀𧏻𦱔𦰙𦯛𦤫𦠞𦔆𦑞𦂖𥴬𥳆𥢦𥟗𥛘𥈗𥆯𤻖𤹝𤵘𤢣𤡝𤠺𤜻𤙞𤗚𤐙𤅹𤂀𣮐𣩩𣦢𣦇𣥣𣢠𣝍𣘥𣋹𣁢𣁉𢴩𢲾𢘍𢖬𢐦𢅩𢁽𡽶𡻞𡠚𡛗𠽩𠮃𠩿𠨘𠦈𠡂𠓷𠋯𠈺鶝鴓鮩馥鞞鞁陴陂踾蘗萆芘胇肸肶翍紴笓稫畐濞檗旇拂埤咇俾䏟䌘㿰𩯃𨳲𧝬𦳈𦭼𤷒𣕾𢍁椑枇仳㵒箄茀
bǐ#鄙貏舭聛粃箄秕疕沘比柀朼彼妣啚匕俾佊䘡䏢䃾㪏㠲𪐄𪌄𨟵𨅗𦸣𤽊𤹦𣔓𢳋𢩒𡳄𠬈𠧅𠛡𠐌魮枇崥娝吡䠋㚰𩣚𧳠鈚捭
bī#鵖逼豍螕楅屄偪䚜㡙𩭧𨻼𨲋𧤃𥏠𤝸𣚡𢡅𢟵鈚悂媲㯅𨻀𧓎𦀘𢞗錍箄笓皀
biàn#釆遍辨辡苄艑汴汳昪拚抃忭徧弁卞便䪻䡢䒪䉸㺹㵷㳎㲢㭓㝸𪉱𩰍𩩯𨳲𨧕𨚕𧩰𦉙𥍚𤻶𤺇𤀲𣸇𣪭𣝜𣈠𢭥𠷖𠯴𠭹頨邲揙䐔㺕𨖠𨐾𥿋𡊅𢬵
biǎn#鴘褊藊糄窆稨碥扁惼匾䁵㦚𪖯𨖠𦽟𦟣𥣰𥣝𤀫𢴂𡬸𡬲𡬯𡈯𠪂𠓫鶣釆豍覵疺萹
biān#鞭鍽蝙萹箯砭甂猵牑煸揙䟍𪓍𪏗𨩫𨖾𦇭𤄺𣩀𢻶𢩟𠑟𠐈鞕臱糄稹𨥧
bian#
biào#俵䞄𧴕𧴎𧳀𢿏𠬪脿摽蔈
biǎo#諘褾裱表檦婊䔸㟽𧝪𥘤𢅚脿剽
biāo#髟颩贆謤藨蔈臕脿穮磦瘭猋爂熛灬瀌滮淲杓彪幖墂儦䮽䙳䅺䁭䁃㶾𩽁𩴩𩪊𨭚𧥍𦾑𦠎𦔩𦔗𥲦𤐫𤆀𤂆𣄠𢒯𠚠𠔂麃鏖膘膔篻僄䔸㟽𢅚苞摽嫖剽
bié#蹩襒蛂莂徶咇䭱䏟䇷𪐆𩦉𩡟𩠻𩓝𨒜𧿥𧧸𧝬𤾵𤺓𢛎𡷘𡙪𠍯蟞苾穪柲捌䟤㧙
biè#䌘𢆣
biě#
biē#蟞憋䘷䋢㔡𪂟𩸁𩵛𨂅𧌽𧆊𥡁𥞲𤷗𤉤𣊶𣇢𢐳𡙀𡘴𡐞撇㭭柭
bìn#髩𧸈𡦆
bǐn#䐔
bīn#顮霦邠豳豩虨砏玢汃椕斌彬䨈䧬䚔㻞𪇕𩴱𩆱𨽗𨐰𧷟𥃰𣰨𣢏𣉮𢲰𡧼𡦻𠴇浜攽𡧍
bìng#鮩靐誁病栤摒庰幷寎偋䗒㓈𩮟𩬝𨋲𨆱𦿅𦡻𥖬𣰜𢔧𢊜𢆩𠊧燹痭
bǐng#鞞陃鉼鈵邴蛃苪窉秉眪炳柄昺昞抦怲丙䴵𩊖𦼹𣦪𡹾𡚛𡖛𡇤𠱛𠛥𠒝鞸癛琕庰寎偋跰枋
bīng#梹掤冰冫兵䔊𪑰𩋒𨹗𥲂𢎴𡲍絣栟幷𣅍
bing#
bo#膊卜噃啵伯
bó#髉髆駮馞馛鑮鋍郣踣豰襮袹葧苩艴舶脖胉肑簙箔秡礴瓟瓝猼狛犻犦牔煿渤浡欂桲搏挬懪帛嚗博勃僰侼伯仢亳䶈䵗䳁䰊䯋䬪䪬䢌䟛䞳䙏䗚䑈䍸䂍㼣㼟㼎㹀㶿㬍㪍㩧㟑㗘𪙍𪍡𪌰𩽛𩷚𩱚𩣡𩟕𩗒𩓐𩏯𩍿𩌏𩄿𩃶𨏫𨍭𨈩𧟱𧇚𦽮𦼭𦰬𦯉𦤣𦤚𦋉𦃙𥹸𥴮𥭖𥜖𤾝𤶋𤚽𤗺𤒔𤃵𣽡𣭷𣧧𣛓𣋵𢺽𢫯𢩞𢣞𢠺𢐾𡋯𠸳𠷺𠮭𠧛詙蒲茀簿穛彴孛募䮡䟮䟔䄶㵨㬥𧿲𦢊𤕝薜茷殕榑柭壆溥哱薄泊
bò#譒蘗糪檗擘𩈔𡯷𡯳𡅂𠴸襎薜蔢檘擗
bǒ#跛簸箥𪚷𪓜𥸥𤿑蚾𥸨
bō#鱍趵袚菠紴磻癶玻波播帗嶓啵僠䭦䝛䃗㞈𩯌𩬸𩜥𨭂𧲯𧙄𦲱𥮯𤜧𤗳𢂍𡀖𠺣𠱀砵妭𧘟皪潘蕃哱
bú#鳪醭𥻞輹
bù#餢部踄蔀荹簿篰瓿步柨捗抪怖布埠埗咘勏不䴺䬏䝵䒀䏽䊇㾟㻉㳍㚴㘵𩷖𩣝𩢕𩊶𩊬𩅇𨛒𨋞𧉩𥹴𥳖𥑢𤸵𤚵𢇴𢁻𠜙𠘁箁尃埔吥䳝㱛𩏵鞴陠溥婄𩌏
bǔ#捕哺䪔䪁䀯㨐㙛𪇰𩯏𩏵𩏮𨴪𥣌𥃨𤣰𣱶𡡐卟𢼹捬拊𥸨鵏
bū#鵏逋誧晡庯峬𩺼𩶉𧻷𥪀𠚉陠秿
bu#不
cà#遪䵽𥩝𥗭
cǎ#礤
cā#攃擦嚓䌨䃰𪊗𨺭𨆾𤄖蔡傪
cái#裁材才䴭𨙴𧵤𦬁𢎂扐
cài#蔡菜縩棌䰂𪇭𩧇𩁞𨯓𤁱𡣮䌨
cǎi#踩跴睬彩婇啋䣋䐆㥒𧀊𤷕𤟖𤝭𤚀
cāi#猜偲䠕䟀䞗揌啋㥒
cai#材才彩
cán#慙䳻䣟䝳䙁䏼㥇𩈻𩀧𨞷𨅔𧓩𧅀𦺐𥂥𣦼𢾃𢧮𢦸𠡡𠠋摲䍼㜞
càn#謲薒粲璨澯䛹㽩㣓𪆶𩯞𥹛𤅒𣻬𣶡𡛝孱嘇鏒傪𩞀
cǎn#朁憯噆㿊𩈼𨲱𥠩𡆮䣟縿
cān#餐飡嬠喰傪䱗䉔𩟒𩝖𦪫𦪜𥢽𠫭𩛳𡡖囋
cáng#鑶藏㶓㵴𨤃𡿄𡾻𡽴蔵臧匨
càng#賶䢢䅮
cāng#嵢凔𩝞𩕹𩀞𦾝𤚬𠥐篬
cáo#鏪褿螬蓸艚漕槽曹嶆嘈䐬䏆䄚㯥㜖𩫥𨎝𦋿𥲍𤵥𤡐𣉿𣈅𡮦慒傮鐰
cào#鄵襙肏鼜漕慥
cǎo#騲草艸懆愺𠹊慅屮
cāo#糙操䎭𤒕𠀊㿷
cè#粣簎箣策笧畟敇拺憡墄䜺䔴䊂䈟㩍㥽𩒄𨶨𧵡𦵪𦣧𦔎𥳯𥰡𥬰𥠉𣌧𢿸𡍫赦嫧𢷾
cén#笒涔梣岑䤁䅾㞥𩻛𩅮𩅨𨱼𨥣𨁊𦊃𣡎硶䫈㞤汵
cēn#
céng#竲曾嶒䉕䁬㬝𧲅𦠇𤛢𢅋𡾓𡪠鄫橧僧
cèng#蹭㣒𠟂
cēng#𡃆噌
chá#靫詧茶秅碴猹檫槎楂查搽嵖察垞䤩䕓䅊䁟㢒㢉𪒼𩟔𨼑𨃓𦳘𦛝𦑣𥥸𥌀𤶠𣱱𣘻𣘤𢣼𡨀𡝙𡝐𠽹褨荼茬苴梌摖叉䠡捈㡸㜘𠞊鉏
chà#衩紁汊差岔侘䶪䟕䓭䒲㤞㣾𪑨𪑂𩴳𨆇𧶵𧫗𧠈𥃀𤳅𤞠𣍏杈岎㳗㲼𧩫𣃍訍仛叉
chǎ#蹅𨩨𥫢𥑥𡌚衩䂳叉
chā#銟艖臿肞疀杈插嗏叉偛㮑㛼𪘾𩝟𨪺𨙳𨀸𦦱𦦜𦦘𦝥𦑈𤵾𤳵𤜯𤜫𣆗𢭅𢘹𢔣𡵌𡋨𠞊𠝞訍荖芆碴扱扠嚓䛽差
chái#豺祡柴喍䓱㾹𨌅𤠌𤞗𡺵𡟭𤝔茈
chài#訍袃瘥囆㳗𧸿𧪘𧕧𧔴𧒨𧀱𦑏𦐰𧓽𦏱蔕㦅
chǎi#茝
chāi#芆拆扠䐤㼮𩑐𢹓䞗𠞊差
chán#鋋酁辿躔誗蟾艬磛獑煘瀺瀍澶潺毚欃棎廛巉孱嚵劖儳儃䫮䧯䡲䂁㺥㶣𪚃𪗂𪖎𪓄𪏦𪏋𪏂𪏁𩽝𩮏𨽊𨷭𨮻𧾡𧴃𧨗𧥓𧕃𧓋𧐲𦝟𤸦𣤱𣔵𢽝𢥋𡎻螹嬗僤僝𣔻蹍襢蟺繵亶𧾍
chàn#韂羼硟摲䴼䱿䠨䊲䀡㸥㬄㙴𩟶𨳂𨇦𧠛𥊓𤼋𤮭𤪮𤗻𢺟襜裧幨儳䪜𩍲𠟉燀䦲
chǎn#讇簅燀灛旵斺摌丳䵐䩶䤘䑎䐮㹌㯆㦃𪙞𩥮𩝚𨼒𨲵𨪑𨩪𨔢𨇝𨄉𧬦𧈪𦸰𦢙𦆀𤯥𤚍𣃘𢷹𢱟𢁧𡍌𠹖𠑡𠑑𠑆𠐩𠋷𠁷醦榐墠䊲僤𥧑
chān#鋓襜裧梴幨䪜㺗㰫㤐㢟㚲𩖌𨵍𨊝𥭔𤴿𢌚𡮿𡝫𡖤𡖞𠣄袩脠嚵䩥䦓𩬑𤎥緂苫
chang#敞
cháng#鋿瓺瑺徜常嫦䯴㙊𪄹𪁺𨱮𨣛𦼳𦰱𥋤𢁝𠙁塲
chàng#鬯韔焻唱倡䩨𧀄𥠴𥟚𥇔𤽣𢢌𢗺𠚊昌
chǎng#鋹氅昶惝僘䠀𥗊𤿼𤢄𡭿𪁺𨎖
chāng#鼚裮菖琩猖淐晿昌娼䮖䗉䅛𪉨𪂇𩲹𨷇𥫅闛
cháo#鄛轈罺窲牊潮漅樔朝巢嘲䄻𨄓𦸛𥲀𥕘𣰩𡼼𡻝𡡊𡏮晁䰫𥧇勦䲃
chào#觘耖仯𪍈𨨚𨢪𨗡𨌬𦨖𥿷𤰬𡯴趠䮓晁
chǎo#眧煼焣炒巐吵䏚䎐𪍑𩱦𩱈𩈎𧧠𦙧粆槱𪍇𪌬趫訬
chāo#超訬欩抄怊弨䰫䫿䫸䜈𩖥𨴡𦾱𤙴𢁾𠰉樔摷勦劋䳂䟁焯
ché#𧙝
chè#頙迠聅硩瞮爡烢澈撤掣屮坼勶䧪䚢䒆䁤㿭㾝㳧㬚㤴㒤𪎺𩗙𩎚𩂻𨹡𨀠𧼳𦛖𥯥𤹞𤗙𤖷𤕛𤊿𣨊𢊏𢇛謵烲摰揊喢呫䞣䊞㱌𨅊𢛁
chě#扯偖䰩䞣㵔㨋𩴟𦓍奲
chē#蛼莗𩒷𤥭𡷖
che#扯
chen#晨
chén#麎霃鈂辰軙訦螴薼莐莀茞臣瘎煁湛沉沈樄曟敐揨愖忱宸䣅䢻䢈䢅䒞㕴𪁏𨼤𨑌𧨡𥫹𥉜𤹛𤘣𣀍𢆺桭𪕁𪁧𦁟跈晨
chèn#趁疢嚫𨼐𧭼𧆂𥗒𢎕疹𡫁
chěn#鍖醦踸趻贂硶夦墋䫖𨣔𧿒𥔪眈𩞀謲
chēn#郴謓諃綝瞋琛棽捵抻䠳䑣䐜䀼㥲𩇖𩅌𨼌𨻖𧡬𦁟𦁄𥞁𤡳𤟸𤝚𣞟胂肜瘨嗔䏹㲀𩂉侲沉
chéng#騬酲郕裎荿脭脀絾筬程碀畻珹珵瀓澄澂溗洆檙橙朾掁挰承成憕峸宬娍塍埕城呈乘丞䫆䚘䇸䆵䆑䄇䁎㼩㲂𪁋𩯎𩫹𩙆𨹚𨞐𨌤𨅝𨁎𦦢𥥱𥢲𤿣𤗓𤆁𣀏𢿧𢿦𢾊𢻓𢐞𡝚𠳽𠕠郢浧氶晟撜嵊埩䔲㨃𠓷觕盛
chèng#秤牚𩛦𧷒𧶸𧡈𤕀𢔤𡤿竀爯𩇜𨌤𨋬
chěng#逞睈悜徎庱侱𣥻𢟊𢜼𢜻裎踜
chēng#靗阷鏿鏳鎗竀穪瞠琤爯浾橕樘棦摚噌僜䟫䟓䗀䕝㛵㓌𩁷𨭃𧯒𦓬𣥺𡽊𠏧虰矃睖牚橖𨎋蹚朾䁎𩇜棱
cheng#成
chí#遟踟趍赿貾謘蚳荎茬茌篪漦泜池歭持弛岻墀坻䶵䶔䪧䞾㮛㞴𪏐𪌫𩚉𨨲𨘾𧺏𧭟𧛺𧎨𧋗𦵟𦳚𦱰𦑡𦐁𤈔𣹡𣲋𣉄𢔊𢓎𡎍𡌞𡉪𡂙邌迡軧謻蝭莉芪耛箎箈穉祇沶汖徲俿㓾𩉬𦏸𣲑𠩺菭狋沱柢㾹踶跢
chì#鷘饎雴銐鉓遫踅跮趩赤腟翨翅翄眙瘛痸痓湁杘斥敕抶懘憏慗恜彳啻傺䳵䰡䤲䠠䟷䀸㽚㥡㓼𪉗𪆵𪅙𪅍𩾕𩷧𩥲𨨬𨧳𨔤𨂰𧼪𧺿𧺧𧺠𧤍𦥊𦤸𦘪𦔫𦏿𦎚𦂋𥱻𥛚𤸪𤰠𤡏𣤩𣚩𣙰𣐃𢨒𢜳𢂝𡣀𡚨𠻟𠮟𠧵𠧚𠞩鵣騺迣跅趐訵瘈柅捇慸呹呬卙剟㩽㑜𩈕𧩴誃𧠫𢴨佁
chǐ#鉹豉褫袳袲蚇胣欼尺垑呎叺卶侈䊼㶴㢋㢁𩳲𩒐𨾛𨖎𨑠𧰲𧛧𧉀𧀤𦙆𥚚𤵬𤟆𢇕𡳭𡖳𠭋𠝨𠛔誃誀搋拸奓𣤌𣆚𢇛𠞄扡䏧
chī#齝黐魑訵螭蚩胵笞瞝眵瓻摛媸嗤哧侙䧝䜉䇪㺈㷰㰞𪌹𩶅𩤖𨒬𧴁𧪡𧩴𧩚𦞲𦐉𦆤𥭘𥄇𤡢𣣷𡼁郗蚳脪胝樆摴䄜𪏸𦑡𦇲𢱟𢣕噭
chóng#隀褈蝩爞崇䳯䌬㹐㓽𩞋𩞉𩜖𩌨𨛱𣐯𢝈𢖄𡿂痋𩅃酮漴𧝎重
chòng#揰㮔㧤𩩳𨖼𧼩𥬱𥅻𣑁𢡹𠑙蹱𩅞僮
chǒng#埫𩒘𨿿𧼙𦑝𢛒喠䳯
chōng#蹖茺艟舂翀罿盅珫浺摏憧憃忡徸嘃充䡴䝑䘪䆹䆔䂌㳘㤝𪒒𪎽𪅖𪅈𪄻𩥫𨳁𨤩𨈮𧩃𧝎𧐍𦟛𥭥𥫯𥁵𠟍𠝤褈祌潼偅橦
chou#酬
chóu#雔醻裯菗絒稠皗燽椆栦愁惆怞嚋仇㵞𪇘𩽀𨤷𨞪𧮻𦭸𦡴𥲅𥡀𥏈𤾦𤾊𤳠𤳝𣫐𣪐𣕾𣀓𡕪𡕐𠾉𠼡𠹝𠷎𠝽魗詶盩畤䱔㾄𨡑鯈圳㿒
chòu#遚臭溴殠䔏𨖬𥦅簉
chǒu#魗瞅杽吜侴䪮𩌄𩋄𨀔𧃝𤘶𢣊𠜋杻媿偢
chōu#瘳犨搊抽妯䀺㮲㨨𨡲𨡑𥻤𥺣𥵬𥰞𥃧𠌪醔跾眣牰揄掫婤䛣𨁀
chu#楚
chú#除鉏躇趎豠藸蒢耡篨犓滁幮䠧䊰𦿀𣦡𣦠𢣵𢊍𢅥跦蠩蜍耝䅷㾻𨅒𪀩
chù#黜閦鄐踀豖諔蓫臅竌矗畜琡珿滀歜欪斶敊搐拀怵埱嘼儊傗俶亍䦌䟣䜴䐍䎌䇍㾥㤕㙇𪇆𩹱𩈤𨴰𨕢𨃕𨁿𧽧𧺶𧰫𧯩𧢶𧃏𦺵𥹵𥒭𥁯𤝞𤏱𣥹𣢶𢨫𢣿𢒔𡳑𡝈𡐌𠇘觕絮炪淑憷慉𨞕鸀菆䐢
chǔ#齼濋楮杵憷䙘𪓐𩂫𨼪𧎷𤻇𢕓𠧖褚䶥
chū#樗摴初出䢺㗙𪁲𩨸𩙙𤙟𠿝𠰕𠁉櫖摢𧲰
chuà#䫄䔴
chuǎ#𣹶𣛕𠻦𠹐
chuā#䵵䊬㔍𤁫欻撮
chuái#膗㪓𢶀腄
chuài#嘬䴝䦤𨣅𣤌𠽶欼啜踹啐
chuǎi#㪜𣲂𧍒𣛹
chuāi#搋揣𢲽
chuán#遄輲船舩篅椽暷圌䁣㼷㯌𨘼𤰌𤮍𤜼𣛹舡甎歂椯掾𨔡
chuàn#鶨賗玔汌串𨂦𧑝𦺛𦎜𦎇𥲏𥃹𤶱𣀔猭丳𨔡
chuǎn#踳荈舛歂喘僢㱛𧍒𥬫𣧒惴踹
chuān#穿瑏猭氚川巛剶𩂍𨩴𠾮𠯀𠛖
chuáng#橦幢噇䚒䃥㡖𪁱𩪘𩞆𩃕𨧖𧬧𦔛𠳹漴朣𧝎𣃘
chuàng#䎫𨜾𥈄
chuǎng#磢傸㼽𡻯𠞮𠏨漺䇬
chuāng#窗牕牎刅䄝𧢆𧜧𥲡𥡟𥎒𡆪舂
chuí#鬌顀陲菙腄箠椎棰捶垂倕𩭦𩗰𩌝𦉈𣇦𢏒𡍮𠄒魋槌搥圌䅜
chuì#𥞃𥙋𣟈惙䕓
chuǐ#㷃
chuī#炊吹𤙵䜅
chun#
chún#鯙陙醇犉漘淳䫃䥎䣩䔚䓐㸪㵮𦎧𤘛𣮢𣘣𣌠𡗥錞肫䐇𠸸𠵧沌
chǔn#蠢萶睶惷偆䦮䐏㿤㖺𦚧𢾎踳僢朐
chūn#鶞輴箺瑃橁椿杶暙春媋䡅䞺𪂹𨉩𧇶𣚆𣌚𡉐芚𨋮𤪪踳楯
chuò#鑡醛酫逴辵趠腏磭涰歠擉惙婼娖娕啜䓎㲋𪘛𩩟𩟫𨒢𨆬𦁶𥓑𤿫𢿭𢽸𡁇齱錣鋜荃斫婥吷䄌㪕𧣺𥁯𣬋𣀔蔟箹焯拺䍳𣤌𠽶趵淖踔
chuō#踔戳㪬𨰆𨮸跿
cí#飺雌薋茨祠磁瓷濨柌慈嬨堲垐呲䧳䈘䂣㞖㘂𩝐𩉋𩆂𨠐𧙈𥿆𥴺𣐑𢶴𡥎𠯂𠤫鈶茈胔粢枱𨐕𤴼𣙼
cì#螆蛓莿茦絘次栨朿庛刺佽伺䳐䯸㢀𪑟𪉪𩾔𨾅𨲁𨋰𧧒𧠎𧑖𧌐𧊒𦖝𥿴𣢕𢅜𠩆𠦐趑螅栜㾊㞖㐸
cǐ#跐皉玼泚此佌𩢑𨒤𧺼𦼡𦐾𦐨𢓗姕㠿茈
cī#齹髊骴趀縒疵偨𩨨𨒮𧠥𦒁𦑺𦍧𣜁𢫴𡰾𡃸跐玼嵯啙呰䖪姕呲𥰭𪘲
cóng#賨藂琮爜灇潨漎淙欉樷慒悰徖孮婃䳷䕺㼻㗰𩯍𨒀𧓏𧐱𦇱𥵫𤄓𣊷𣃗𢃏𡵷𡦷𡅇𠤰𠢛𠙂𠕁𠂥碂𨽁菆
còng#憁𧩪𥮨藂𥣙
cǒng#𧝮
cōng#篵瞛璁焧漗棇暰悤怱匆䡯䗓䓗䐫䐋䈡㥖㞱㜡𩬼𨲧𨱸𨦱𨡮𨑪𨍉𨂴𦝰𦗜𦇎𥡬𥎋𥍷𢔩𢐔𢊕𡹸𡟟鏓総熜楤䰌
cóu#𧡣
còu#腠𪉮𩹀𨨯𧱪𦺀𦳿𦦅𤆑𣞜𣙘𣉅蔟𨓭
cǒu#㔌
cōu#𢈾楱
cú#殂徂䣯䢐𦯣䓚
cù#鼀醋酢蹴蹙趗誎蔟脨簇瘯瘄猝憱噈促䟟䛤䙯䃚㗤𪚯𪕝𪓡𧼜𦠁𦟠𥾛𥻒𥷼𥪱𤠽𤗁𢪃𢈠𢄧𡞜𡄱𠛙𠑯踧踤踓踀趥捽娖娕卒䠓𠴫𠱙
cǔ#𤛏蔖皻
cū#麤觕粗𧺲𧆓𥅗𤿚𡝉𡘛麆蔍怚
cuán#穳巑𨣵𢖑襸菆僔㭫
cuàn#篡爨殩𨼉𥎤𥎣𥎢𤐲𢸥窾𥨒𥤳
cuān#鋑汆𥍬
